Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0625","0,015","0,045",0,0,0,"0,9","0,0010875","6,86661375907486E-20","2,71833068627654E-35","0,001779375","2,82344315751434E-20","0,001651875",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/base_link.STL,"0,796078431372549","0,823529411764706","0,937254901960784",1,0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/base_link.STL,,Base_Colision-1,Global_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1_colision,"0,0163072875765666","1,36696209906972E-15","0,0143764724359981",0,0,0,"0,6367","0,000470014126223758","-9,9214392180417E-20","0,000316138506832103","0,0028559194054094","7,41686611634826E-20","0,00280017694585231",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_1_colision.STL,"0,76078431372549","0,4","0,180392156862745","0,3",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_1_colision.STL,,Shoulder_Colision-1,Joint1_CS,Joint1_Axis,Joint_1,revolute,"0,0624999999999998","0,0150000000000011","0,106",0,0,0,base_link,0,0,1,10,20,-628320,628320,,,,,,,,
Link_2_colision,"-0,0512196926157863","-0,000731320595335157","0,104459356244441",0,0,0,"1,350232","0,00695370549657839","-4,47103054903182E-18","-0,000933186590156374","0,00816173939983962","-3,40570097576402E-18","0,0024219679139279",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_2_colision.STL,"0,76078431372549","0,4","0,180392156862745","0,3",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_2_colision.STL,,upperarm_colision-1,Joint2_CS,Joint2_Axis,Joint_2,revolute,"0,104","0,000731320595335067","0,0269325090282281",0,0,0,Link_1_colision,1,0,0,10,20,-296710,-296710,,,,,,,,
Link_3_colision,"-0,0609999999999997","-0,0160590410734605","0,0307907261572494",0,0,0,"0,713133499616522","0,00214817254249618","6,21086979524065E-18","-4,34901400942238E-18","0,00155758926095847","0,000405733572218967","0,000887722239711263",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_3_colision.STL,"0,76078431372549","0,4","0,180392156862745","0,3",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_3_colision.STL,,Forearm_Colision-1,Coordinate System5,Joint3_Axis,Joint_3,revolute,"-0,0309999999999991","-0,000742651593437518","0,181795309072382",0,0,0,Link_2_colision,-1,0,0,10,20,"-2,9671",296710,,,,,,,,
Link_4_colision,"0,0130567974402149","-0,000172033492558121","-0,184709430448294",0,0,0,"3,60006549961652","0,0530964078829574","-0,000149635085660357","-0,00460077712348275","0,0584171040538013","0,00218781523201406","0,00968258584827654",0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_4_colision.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Base_shoulder_forearm_colision/meshes/Link_4_colision.STL,,,Coordinate System6,Axis8,Joint_4,revolute,"-0,0609999999999998","-0,00300000000000059","0,0599999999999999",0,0,0,Link_3_colision,0,-1,0,10,20,"-6,2832","6,2832",,,,,,,,
