"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-09012017-098497";"";
"REFERENCE";"7200 BEP";"";
"TraceParts.PartVersion";"1.2.6";"";
"TraceParts.InstanceId";"10-09012017-098497ANYAFWGN4L1B7N5PF1L1W4G3W";"";
"TraceParts.PartTitle";"Angular contact ball bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Angular contact ball bearings, single row, Bore Ø 10 mm, Outside Ø 30 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.03";"";
